kind,M,seed,query_index,start,target,B_on,forward,forward_ticks,native_bidi,native_bidi_ticks,macro2,macro2_online_ticks,macro3,macro3_online_ticks,macro4,macro4_online_ticks
affine_mix,30,17,0,11,2,20,0,21,1,12,0,21,1,3,1,3
affine_mix,30,17,0,11,2,40,1,23,1,12,0,41,1,3,1,3
affine_mix,30,17,0,11,2,80,1,23,1,12,1,41,1,3,1,3
affine_mix,300,17,0,236,10,20,0,21,0,21,0,21,0,21,0,21
affine_mix,300,17,0,236,10,40,0,41,0,41,0,41,0,41,0,41
affine_mix,300,17,0,236,10,80,0,81,0,81,0,81,0,81,0,81
affine_mix,3000,17,0,2713,1769,20,0,21,0,21,0,21,0,21,0,21
affine_mix,3000,17,0,2713,1769,40,0,41,0,41,0,41,0,41,0,41
affine_mix,3000,17,0,2713,1769,80,0,81,0,81,0,81,0,81,0
perm_mix,31,17,0,17,10,20,0,21,0,21,0,21,0,21,0,21
perm_mix,31,17,0,17,10,40,0,41,1,22,0,41,1,23,1,38
perm_mix,31,17,0,17,10,80,1,65,1,22,1,68,1,23,1,38
opaque_mix,31,17,0,17,10,20,0,21,,0,21,0,21,1,10
opaque_mix,31,17,0,17,10,40,1,35,,0,41,0,41,1,10
opaque_mix,31,17,0,17,10,80,1,35,,1,59,1,48,1,10
