M,seed,query_index,start,target,B_on,forward,forward_ticks,native_bidi,native_bidi_ticks,reverse_index,reverse_index_ticks,policy,policy_ticks,reverse_B_off,reverse_R,policy_B_off,policy_R
30,17,0,11,2,10,0,11,0,11,0,11,1,6,90,90,2700,870
30,17,20,11,22,10,1,3,1,3,1,3,1,2,90,90,2700,870
30,17,40,19,11,10,0,11,0,11,0,11,1,6,90,90,2700,870
30,17,60,0,5,10,0,11,1,9,1,9,1,8,90,90,2700,870
30,17,0,11,2,40,1,23,1,12,1,12,1,6,90,90,2700,870
30,17,20,11,22,40,1,3,1,3,1,3,1,2,90,90,2700,870
30,17,40,19,11,40,1,19,1,11,1,11,1,6,90,90,2700,870
30,17,60,0,5,40,1,25,1,9,1,9,1,8,90,90,2700,870
30,17,0,11,2,80,1,23,1,12,1,12,1,6,90,90,2700,870
30,17,20,11,22,80,1,3,1,3,1,3,1,2,90,90,2700,870
30,17,40,19,11,80,1,19,1,11,1,11,1,6,90,90,2700,870
30,17,60,0,5,80,1,25,1,9,1,9,1,8,90,90,2700,870
100,17,0,30,23,10,0,11,0,11,0,11,1,8,300,300,30000,9900
100,17,20,70,56,10,0,11,1,9,1,9,1,6,300,300,30000,9900
100,17,40,82,96,10,1,8,1,5,1,5,1,4,300,300,30000,9900
100,17,60,59,8,10,0,11,0,11,0,11,1,10,300,300,30000,9900
100,17,0,30,23,40,0,41,1,20,1,20,1,8,300,30000,30000,9900
100,17,20,70,56,40,1,18,1,9,1,9,1,6,300,300,30000,9900
100,17,40,82,96,40,1,8,1,5,1,5,1,4,300,30000,30000,9900
100,17,60,59,8,40,0,41,1,36,1,36,1,10,300,30000,30000,9900
100,17,0,30,23,80,1,79,1,20,1,20,1,8,300,300,30000,9900
100,17,20,70,56,80,1,18,1,9,1,9,1,6,300,30000,30000,9900
100,17,40,82,96,80,1,8,1,5,1,5,1,4,300,30000,30000,9900
100,17,60,59,8,80,0,81,1,36,1,36,1,10,300,30000,30000,9900
300,17,0,236,10,10,0,11,0,11,0,11,0,11,900,900,270000,89700
300,17,20,176,98,10,0,11,0,11,0,11,0,11,900,900,270000,89700
300,17,40,215,263,10,0,11,0,11,0,11,1,8,900,900,270000,89700
300,17,60,223,245,10,0,11,0,11,0,11,1,8,900,900,270000,89700
300,17,0,236,10,40,0,41,0,41,0,41,1,14,900,900,270000,89700
300,17,20,176,98,40,0,41,0,41,0,41,1,12,900,900,270000,89700
300,17,40,215,263,40,0,41,1,20,1,20,1,8,900,900,270000,89700
300,17,60,223,245,40,0,41,1,11,1,11,1,8,900,900,270000,89700
300,17,0,236,10,80,0,81,0,81,0,81,1,14,900,900,270000,89700
300,17,20,176,98,80,0,81,1,61,1,61,1,12,900,900,270000,89700
300,17,40,215,263,80,1,79,1,20,1,20,1,8,900,900,270000,89700
300,17,60,223,245,80,1,47,1,11,1,11,1,8,900,900,270000,89700
