M,seed,B_on,n,forward,native_bidi,reverse_index,policy
30,17,10,80,23,50,50,80
30,17,20,80,39,75,75,80
30,17,40,80,71,80,80,80
30,17,80,80,80,80,80,80
30,17,160,80,80,80,80,80
30,17,320,80,80,80,80,80
30,17,640,80,80,80,80,80
30,23,10,80,17,41,41,80
30,23,20,80,37,76,76,80
30,23,40,80,67,80,80,80
30,23,80,80,80,80,80,80
30,23,160,80,80,80,80,80
30,23,320,80,80,80,80,80
30,23,640,80,80,80,80,80
30,41,10,80,24,45,45,71
30,41,20,80,41,76,76,80
30,41,40,80,62,80,80,80
30,41,80,80,80,80,80,80
30,41,160,80,80,80,80,80
30,41,320,80,80,80,80,80
30,41,640,80,80,80,80,80
100,17,10,80,16,40,40,68
100,17,20,80,37,67,67,80
100,17,40,80,61,80,80,80
100,17,80,80,80,80,80,80
100,17,160,80,80,80,80,80
100,17,320,80,80,80,80,80
100,17,640,80,80,80,80,80
100,23,10,80,13,35,35,61
100,23,20,80,32,67,67,80
100,23,40,80,60,80,80,80
100,23,80,80,80,80,80,80
100,23,160,80,80,80,80,80
100,23,320,80,80,80,80,80
100,23,640,80,80,80,80,80
100,41,10,80,16,32,32,71
100,41,20,80,28,51,51,80
100,41,40,80,44,75,75,80
100,41,80,80,67,80,80,80
100,41,160,80,80,80,80,80
100,41,320,80,80,80,80,80
100,41,640,80,80,80,80,80
300,17,10,80,6,18,18,47
300,17,20,80,12,46,46,80
300,17,40,80,24,63,63,80
300,17,80,80,63,80,80,80
300,17,160,80,80,80,80,80
300,17,320,80,80,80,80,80
300,17,640,80,80,80,80,80
300,23,10,80,6,14,14,32
300,23,20,80,10,37,37,80
300,23,40,80,21,57,57,80
300,23,80,80,43,80,80,80
300,23,160,80,80,80,80,80
300,23,320,80,80,80,80,80
300,23,640,80,80,80,80,80
300,41,10,80,7,14,14,21
300,41,20,80,12,28,28,67
300,41,40,80,24,58,58,80
300,41,80,80,45,80,80,80
300,41,160,80,77,80,80,80
300,41,320,80,80,80,80,80
300,41,640,80,80,80,80,80
